term,estimate,std.error,statistic,p.value,dropped
regionNon-OECD,1.9836844900733726,2.9978160711186828,0.6617098724582957,0.5109710787480248,SGP
regionEast Asia,12.396954888919621,5.323502325761499,2.3287216066250713,0.023646697431789057,SVK
regionNordic,-9.64664198396856,6.842932896494601,-1.4097233057641416,0.16435505315596857,SVK
regionNon-OECD,2.0053661315182025,3.0247816589836263,0.6629788056146958,0.510164338606067,SVK
regionEast Asia,12.584614832392093,5.327093093659996,2.3623793711000824,0.021791521981358395,SVN
regionNordic,-9.278800360317305,6.821406785492587,-1.3602473290481627,0.17940325991378106,SVN
regionNon-OECD,2.215322311939411,3.0360182458745992,0.7296801707136096,0.46873921534445295,SVN
regionEast Asia,5.78265921856013,6.053561766210815,0.9552490652424193,0.3437087112600894,TAP
regionNordic,-8.313636750030453,6.59081598558848,-1.2613971878761452,0.2125878117654683,TAP
regionNon-OECD,1.0192676399723217,2.9523734701657185,0.3452366884719058,0.7312576514786887,TAP
regionEast Asia,12.42671627212098,5.321537736427325,2.335173945503917,0.02328049870671247,THA
regionNordic,-9.461061319558885,6.815415347607449,-1.3881855818046642,0.17078124417175364,THA
regionNon-OECD,1.9574803357413004,3.0353758834899294,0.644888939912998,0.5217296129949087,THA
regionEast Asia,12.618197413018041,5.30542756017155,2.3783563661757046,0.02095733361466563,URY
regionNordic,-9.624614194209647,6.790611428633392,-1.4173413241738966,0.16212743299974472,URY
regionNon-OECD,2.4257602091922466,3.0469177285800533,0.7961357756524384,0.4294392663469687,URY
regionEast Asia,12.455335645491866,5.329421585021371,2.337089578444735,0.023172756603650087,USA
regionNordic,-9.401079646856179,6.842157026888843,-1.3739935534819037,0.17512033140712996,USA
regionNon-OECD,2.086909314303929,3.0308450700341503,0.6885569094036254,0.49404983103980427,USA
regionEast Asia,11.174334028852657,5.958570063944388,1.8753381950594359,0.06615734933346054,VNM
regionNordic,-9.412223398972621,6.809185566568923,-1.3822832858578331,0.17257565938376612,VNM
regionNon-OECD,2.0103502684787546,3.0177661863377883,0.6661716462925897,0.5081374836347294,VNM
