quantile,hwk_at,slope_mean,between,M,country
p50,1,17.27764909923809,1.2498513413139938,10,MNE
p75,2,12.239823264431777,0.4562584661180181,10,MNE
p25,1,13.821747501535185,0.664648140720825,10,MNG
p50,2,11.195733344851476,0.26877690077194055,10,MNG
p75,3,3.596347870170291,0.4686398950104259,10,MNG
p25,2,16.616832209678932,0.2818634348741032,10,MYS
p50,2,16.616832209678932,0.2818634348741032,10,MYS
p75,3,7.205111060672664,0.8597682104017232,10,MYS
p25,1,25.974395074725066,1.2324543266302261,10,NLD
p50,1,25.974395074725066,1.2324543266302261,10,NLD
p75,2,12.882446034039958,0.49563024063252825,10,NLD
p25,1,14.688354295099941,0.7101228873684154,10,NZL
p50,1,14.688354295099941,0.7101228873684154,10,NZL
p75,2,9.98874581579014,0.13913430699948431,10,NZL
p25,1,6.654496113756807,0.43630560765604814,10,PAN
p50,2,5.976636558925463,0.3600950372923023,10,PAN
p75,3,3.825681905885574,1.1506337875809722,10,PAN
p25,2,11.311927173595791,0.18303243072763856,10,PER
p50,2,11.311927173595791,0.18303243072763856,10,PER
p75,3,4.723140165759446,1.1897634812279638,10,PER
p25,1,9.589841509208156,0.6229575202543942,10,PHL
p50,2,8.719569907779146,0.25127458293655314,10,PHL
p75,3,5.924543185321966,0.2698590648712438,10,PHL
p25,1,9.036300534420832,1.6218951568019744,10,POL
p50,1,9.036300534420832,1.6218951568019744,10,POL
p75,2,4.117549770562903,0.4642078522910502,10,POL
p25,1,10.638600116362454,1.123891566571915,10,PRT
p50,1,10.638600116362454,1.123891566571915,10,PRT
p75,2,6.078933228251685,0.3099448101281437,10,PRT
p25,1,15.964321990992971,3.5358486347473144,10,PRY
p50,2,9.645513623089414,0.9034456504593267,10,PRY
p75,3,-7.692613903579229,4.179191387331638,10,PRY
p25,1,-2.0352596883564047,1.147185014500478,10,PSE
p50,1,-2.0352596883564047,1.147185014500478,10,PSE
p75,2,-3.0483903034403284,0.4945396276399149,10,PSE
p25,1,11.920802506539985,1.350617511522531,10,QAT
p50,1,11.920802506539985,1.350617511522531,10,QAT
p75,3,-2.7070797215660036,1.128248437265659,10,QAT
p25,1,16.63265543661163,1.6902486422529477,10,QAZ
p50,3,10.654810245527301,0.6593288619153935,10,QAZ
p75,4,2.0523363015866494,0.7850938907377385,10,QAZ
p25,1,17.10060294792885,1.3907437131012257,10,QUR
p50,2,13.831957370543762,0.9645380208022428,10,QUR
p75,3,4.364494920083928,0.8963295686022982,10,QUR
p25,1,13.653587147627661,1.3950361884953553,10,ROU
p50,2,13.02506092543672,0.5406792824143836,10,ROU
p75,3,10.37086907797351,1.4773101965743092,10,ROU
p25,1,-3.8262874938725417,2.2430455357942147,10,SAU
p50,1,-3.8262874938725417,2.2430455357942147,10,SAU
p75,2,-5.815762839258241,0.5829469753990417,10,SAU
p25,2,14.009233885191406,0.5289321846136172,10,SGP
p50,2,14.009233885191406,0.5289321846136172,10,SGP
p75,3,4.553716729069379,0.6688066287345047,10,SGP
p25,1,11.694188650241074,0.2841610107054537,10,SLV
p50,2,9.5876444699976,0.26222522235132395,10,SLV
p75,3,3.443603111778202,0.8246241347893352,10,SLV
p25,1,6.641317935093923,2.2886681691696906,10,SRB
p50,1,6.641317935093923,2.2886681691696906,10,SRB
p75,2,4.849459130048899,0.8563103089021985,10,SRB
p25,1,-0.2975719966740371,1.0411484656715777,10,SVK
p50,1,-0.2975719966740371,1.0411484656715777,10,SVK
p75,2,-3.27617964855051,0.31748206904218046,10,SVK
p25,1,7.6920937351811745,1.6630384700667522,10,SVN
p50,1,7.6920937351811745,1.6630384700667522,10,SVN
p75,2,-0.5168338525539298,0.6335785728705347,10,SVN
p25,1,-30.24761312357458,1.1047400552602138,10,SWE
p50,1,-30.24761312357458,1.1047400552602138,10,SWE
p75,2,-21.66302225600407,0.49714023973022126,10,SWE
p25,1,47.82373936968304,1.4535801680456863,10,TAP
p50,2,31.487307223619723,0.37673152313347846,10,TAP
p75,2,31.487307223619723,0.37673152313347846,10,TAP
p25,1,15.956198111724689,0.9941182695014752,10,THA
p50,2,12.036857160903764,0.29106889231622707,10,THA
p75,3,0.9904124831059562,1.1738916610045165,10,THA
p25,1,20.776499847512014,1.346799082415044,10,TUR
p50,2,17.927651452526334,0.2858308715349331,10,TUR
p75,3,9.08981344040103,2.7211683064820233,10,TUR
p25,1,3.5444893218524385,0.2666490876497624,10,URY
p50,2,1.241793394007118,0.10892745738497474,10,URY
p75,3,-5.156197767146239,0.41641433721711574,10,URY
p25,1,3.8349719328900846,2.1086474494646867,10,USA
p50,1,3.8349719328900846,2.1086474494646867,10,USA
p75,2,2.40995968059849,0.7799282799660374,10,USA
p25,1,5.6065917106681695,0.6607268722529999,10,UZB
p50,2,5.32675818860173,0.22944323341243483,10,UZB
p75,3,4.094741708500408,1.277270356182071,10,UZB
p25,1,27.72188517929976,0.7673584816070707,10,VNM
p50,2,23.458920450950018,0.3852769720171569,10,VNM
p75,3,11.014550262635453,1.8709407701649592,10,VNM
