country,input,layer,slope,region
HUN,SDLEFF,L0,0.21881040665813803,OECD (other)
HUN,SDLEFF,L1,0.11972908061878494,OECD (other)
HUN,SDLEFF,L2,0.13240809558169372,OECD (other)
HUN,MATHEFF,L0,0.4527049257236981,OECD (other)
HUN,MATHEFF,L1,0.3439263722012484,OECD (other)
HUN,MATHEFF,L2,0.3560542490083311,OECD (other)
HUN,MATHMOT,L0,0.46548867092111246,OECD (other)
HUN,MATHMOT,L1,0.37905978891401826,OECD (other)
HUN,MATHMOT,L2,0.4484497305810044,OECD (other)
IDN,hwk_h,L0,0.04343424148693921,Non-OECD
IDN,hwk_h,L1,0.03338886479969905,Non-OECD
IDN,hwk_h,L2,0.04178259738879775,Non-OECD
IDN,SDLEFF,L0,0.06731801602976221,Non-OECD
IDN,SDLEFF,L1,0.03571569994460189,Non-OECD
IDN,SDLEFF,L2,0.04885645839066398,Non-OECD
IDN,MATHEFF,L0,NA,Non-OECD
IDN,MATHEFF,L1,NA,Non-OECD
IDN,MATHEFF,L2,NA,Non-OECD
IDN,MATHMOT,L0,-0.029708578495718556,Non-OECD
IDN,MATHMOT,L1,-0.01610427922229861,Non-OECD
IDN,MATHMOT,L2,-0.02949737556233941,Non-OECD
IRL,hwk_h,L0,-0.017031064093998877,OECD (other)
IRL,hwk_h,L1,-0.014354861009458379,OECD (other)
IRL,hwk_h,L2,-0.03880054564415361,OECD (other)
IRL,SDLEFF,L0,0.12482670705940037,OECD (other)
IRL,SDLEFF,L1,0.09216200071474094,OECD (other)
IRL,SDLEFF,L2,0.08172230603720533,OECD (other)
IRL,MATHEFF,L0,0.4118342833543501,OECD (other)
IRL,MATHEFF,L1,0.3601598781117648,OECD (other)
IRL,MATHEFF,L2,0.36586274841226957,OECD (other)
IRL,MATHMOT,L0,0.22439877789396057,OECD (other)
IRL,MATHMOT,L1,0.19137740399354725,OECD (other)
IRL,MATHMOT,L2,0.17261415963970944,OECD (other)
ISL,hwk_h,L0,-0.07311347607589017,Nordic
ISL,hwk_h,L1,-0.05882872660824336,Nordic
ISL,hwk_h,L2,-0.0649906476211914,Nordic
ISL,SDLEFF,L0,0.16547903641829534,Nordic
ISL,SDLEFF,L1,0.13233639997817254,Nordic
ISL,SDLEFF,L2,0.14240049881626915,Nordic
ISL,MATHEFF,L0,0.33395304093548855,Nordic
ISL,MATHEFF,L1,0.29942341584374793,Nordic
ISL,MATHEFF,L2,0.3152792824721203,Nordic
ISL,MATHMOT,L0,0.2582168477528414,Nordic
ISL,MATHMOT,L1,0.2599016484790403,Nordic
ISL,MATHMOT,L2,0.20959553862535915,Nordic
ISR,hwk_h,L0,0.02590036410792566,OECD (other)
ISR,hwk_h,L1,0.027246733998021005,OECD (other)
ISR,hwk_h,L2,0.022415556123584996,OECD (other)
ISR,SDLEFF,L0,0.1374215704149328,OECD (other)
ISR,SDLEFF,L1,0.10363685454482778,OECD (other)
ISR,SDLEFF,L2,0.09959671188091135,OECD (other)
ISR,MATHEFF,L0,0.31723066526193505,OECD (other)
ISR,MATHEFF,L1,0.26051589213777687,OECD (other)
ISR,MATHEFF,L2,0.26856246786268556,OECD (other)
ISR,MATHMOT,L0,0.28802426907483664,OECD (other)
ISR,MATHMOT,L1,0.21949213795239583,OECD (other)
ISR,MATHMOT,L2,0.23139449299458206,OECD (other)
ITA,hwk_h,L0,0.014377232014931565,OECD (other)
ITA,hwk_h,L1,-0.008650985722007313,OECD (other)
ITA,hwk_h,L2,-0.009653340434721646,OECD (other)
ITA,SDLEFF,L0,0.18730509386205407,OECD (other)
ITA,SDLEFF,L1,0.14286049001693107,OECD (other)
ITA,SDLEFF,L2,0.1327599165552983,OECD (other)
ITA,MATHEFF,L0,0.4254892873531347,OECD (other)
ITA,MATHEFF,L1,0.34990467530778224,OECD (other)
ITA,MATHEFF,L2,0.3680326492057719,OECD (other)
ITA,MATHMOT,L0,-0.032371505710235754,OECD (other)
ITA,MATHMOT,L1,-0.007529260832739882,OECD (other)
ITA,MATHMOT,L2,0.02843305436226172,OECD (other)
JAM,hwk_h,L0,-0.02932446670505366,Non-OECD
JAM,hwk_h,L1,-0.030546865757236558,Non-OECD
JAM,hwk_h,L2,-0.02891723746726678,Non-OECD
JAM,SDLEFF,L0,-0.0016924994883528058,Non-OECD
JAM,SDLEFF,L1,-0.020654019659922515,Non-OECD
JAM,SDLEFF,L2,-0.011769029797879858,Non-OECD
JAM,MATHEFF,L0,0.16249225830663347,Non-OECD
JAM,MATHEFF,L1,0.14455799623348883,Non-OECD
JAM,MATHEFF,L2,0.1700810967992749,Non-OECD
JAM,MATHMOT,L0,-0.018629211347505333,Non-OECD
JAM,MATHMOT,L1,-0.035185897292342304,Non-OECD
JAM,MATHMOT,L2,-0.03366753318985383,Non-OECD
JOR,hwk_h,L0,-0.03738465919179552,Non-OECD
JOR,hwk_h,L1,-0.028371818670754972,Non-OECD
JOR,hwk_h,L2,-0.03495106738882289,Non-OECD
JOR,SDLEFF,L0,0.045657832600162054,Non-OECD
JOR,SDLEFF,L1,0.021903181695792324,Non-OECD
JOR,SDLEFF,L2,0.037699518711013444,Non-OECD
JOR,MATHEFF,L0,0.12829434413115218,Non-OECD
JOR,MATHEFF,L1,0.10557342549317882,Non-OECD
JOR,MATHEFF,L2,0.10811974614119912,Non-OECD
JOR,MATHMOT,L0,-0.09281898354108475,Non-OECD
JOR,MATHMOT,L1,-0.06405868739523678,Non-OECD
JOR,MATHMOT,L2,-0.05650011033218122,Non-OECD
KAZ,hwk_h,L0,0.023908852771317043,Non-OECD
KAZ,hwk_h,L1,0.012175952082918471,Non-OECD
KAZ,hwk_h,L2,0.016350394677975666,Non-OECD
KAZ,SDLEFF,L0,0.14233841278230833,Non-OECD
KAZ,SDLEFF,L1,0.12405833606744694,Non-OECD
KAZ,SDLEFF,L2,0.1279866187402577,Non-OECD
KAZ,MATHEFF,L0,NA,Non-OECD
KAZ,MATHEFF,L1,NA,Non-OECD
KAZ,MATHEFF,L2,NA,Non-OECD
KAZ,MATHMOT,L0,0.1277605272332555,Non-OECD
KAZ,MATHMOT,L1,0.1266315578543237,Non-OECD
KAZ,MATHMOT,L2,0.17069442230637918,Non-OECD
KHM,hwk_h,L0,-0.007925536577223101,Non-OECD
KHM,hwk_h,L1,-0.007049233882677494,Non-OECD
KHM,hwk_h,L2,-0.008665805887737446,Non-OECD
KHM,SDLEFF,L0,0.1369304917834549,Non-OECD
KHM,SDLEFF,L1,0.09720811300281851,Non-OECD
KHM,SDLEFF,L2,0.10900281616241864,Non-OECD
KHM,MATHEFF,L0,0.09564172607837405,Non-OECD
KHM,MATHEFF,L1,0.0803501187216588,Non-OECD
KHM,MATHEFF,L2,0.09728935138647446,Non-OECD
KHM,MATHMOT,L0,NA,Non-OECD
KHM,MATHMOT,L1,NA,Non-OECD
KHM,MATHMOT,L2,NA,Non-OECD
KOR,hwk_h,L0,0.24169105430786625,East Asia
KOR,hwk_h,L1,0.18521545281590998,East Asia
KOR,hwk_h,L2,0.16827369324483674,East Asia
KOR,SDLEFF,L0,0.24956056559391554,East Asia
KOR,SDLEFF,L1,0.1753729493659243,East Asia
KOR,SDLEFF,L2,0.14334861633039164,East Asia
KOR,MATHEFF,L0,0.46106022788072254,East Asia
KOR,MATHEFF,L1,0.40965257677584455,East Asia
KOR,MATHEFF,L2,0.4143593260085375,East Asia
KOR,MATHMOT,L0,-0.052225026734808735,East Asia
KOR,MATHMOT,L1,-0.0072794651796970885,East Asia
KOR,MATHMOT,L2,-0.0635525408453277,East Asia
KSV,hwk_h,L0,0.021007098305859784,Non-OECD
KSV,hwk_h,L1,0.015512159840844182,Non-OECD
KSV,hwk_h,L2,0.02559455021177461,Non-OECD
KSV,SDLEFF,L0,0.08561209215382791,Non-OECD
KSV,SDLEFF,L1,0.06750220751399995,Non-OECD
KSV,SDLEFF,L2,0.07351957689963896,Non-OECD
KSV,MATHEFF,L0,0.16670264532258722,Non-OECD
KSV,MATHEFF,L1,0.14389532451325526,Non-OECD
KSV,MATHEFF,L2,0.15105972000359477,Non-OECD
KSV,MATHMOT,L0,0.029380991407403342,Non-OECD
KSV,MATHMOT,L1,0.01645833476713012,Non-OECD
KSV,MATHMOT,L2,0.00953259812032359,Non-OECD
LTU,hwk_h,L0,-0.024529224413402138,OECD (other)
LTU,hwk_h,L1,-0.05358010564298636,OECD (other)
LTU,hwk_h,L2,-0.06787616729435651,OECD (other)
LTU,SDLEFF,L0,0.1473203257057287,OECD (other)
LTU,SDLEFF,L1,0.0958779642482932,OECD (other)
