country,input,slope,se,n,region
GRC,hwk_h,0.04600723832840142,0.00871870699965336,6015,OECD (other)
GRC,study_h,0.018767345876649685,0.0029772615701255203,6200,OECD (other)
GRC,EXERPRAC,-0.032361584905098155,0.0027881632332761573,6200,OECD (other)
GRC,ST297Q01JA,-0.07027873358116721,0.02012271419689299,6175,OECD (other)
GRC,ST297Q03JA,-0.2913733678625163,0.029008855628897184,6175,OECD (other)
GRC,ST297Q05JA,-0.36132534381732717,0.033900373613153095,6175,OECD (other)
GRC,ST297Q06JA,0.0709757086975661,0.023227958324170017,6175,OECD (other)
GRC,ST297Q07JA,-0.3353671180199533,0.0343506748560484,6175,OECD (other)
GTM,hwk_h,0.017624553687717176,0.006053790973944857,4598,Non-OECD
GTM,study_h,0.037663329797512336,0.002858856126922113,4926,Non-OECD
GTM,EXERPRAC,-0.01298449875972924,0.0022159917115711896,4824,Non-OECD
GTM,ST297Q01JA,-0.2691976997944372,0.01908710887466216,5103,Non-OECD
GTM,ST297Q03JA,-0.15967913735149072,0.02109761449886348,5103,Non-OECD
GTM,ST297Q05JA,-0.06021210541380345,0.020634479791129083,5103,Non-OECD
GTM,ST297Q06JA,-0.1827829902235072,0.01987916098902505,5103,Non-OECD
GTM,ST297Q07JA,-0.29188479529504274,0.022663187644118718,5103,Non-OECD
HKG,hwk_h,-0.01070906186796548,0.012474352565508643,5480,East Asia
HKG,study_h,0.0080995526289427,0.0045176038930717765,5540,East Asia
HKG,EXERPRAC,-0.0873554866626778,0.004498431827229773,5542,East Asia
HKG,ST297Q01JA,-0.34554169894930575,0.03204840987926508,5547,East Asia
HKG,ST297Q03JA,-0.2728864466621068,0.0394594863567236,5547,East Asia
HKG,ST297Q05JA,-0.2716020128674537,0.0438834670787988,5547,East Asia
HKG,ST297Q06JA,-0.06174594830391359,0.03239087193381613,5547,East Asia
HKG,ST297Q07JA,-0.08104424874669232,0.04394196443351079,5547,East Asia
HRV,hwk_h,0.03607864392815796,0.010161390933536218,5816,Non-OECD
HRV,study_h,0.024211675125514334,0.0035732079276483268,5981,Non-OECD
HRV,EXERPRAC,-0.030997011000678695,0.0030054088933562503,5983,Non-OECD
HRV,ST297Q01JA,-0.12481342109575465,0.022230045888223773,5959,Non-OECD
HRV,ST297Q03JA,-0.1929556821628096,0.025431265277064782,5959,Non-OECD
HRV,ST297Q05JA,0.051925672323213067,0.02380544164841707,5959,Non-OECD
HRV,ST297Q06JA,-0.12517876151051455,0.02619775294515513,5959,Non-OECD
HRV,ST297Q07JA,-0.4645750176283811,0.03895744489645175,5959,Non-OECD
HUN,hwk_h,-0.11226626448878062,0.011831055873234428,5796,OECD (other)
HUN,study_h,-0.012063827897818288,0.0034824370203674513,5947,OECD (other)
HUN,EXERPRAC,-0.04068164385809213,0.0030517256359454173,5946,OECD (other)
