country,slope_p25,slope_p50,slope_p75,slope_mid,concavity,n_stud,n_school,pv_math_mean,hwk_mean,study_mean,escs_mean,east_asia,nordic,oecd,region,n_schools,schsize_mean,stratio_mean,private_share,abgmath_mean,stubeha_mean,mactiv_mean,edushort_mean,clsize_mean,escs_btw_var,exam_pressure_z,stratification_z,resource_z,pc1_org,pc2_org
MNG,13.821747501535183,11.195733344851476,3.596347870170291,9.537942905518983,10.225399631364892,6999,195,424.5931285428447,2.354119077126432,7.134720311731205,-0.7291488625589954,0,0,0,Non-OECD,195,1663.620236399999,19.562901442001884,0.10864735130426968,2.2783417122352603,0.0765971184833455,3.231712657053294,1.0871773280675483,30.827571479863632,0.4044437841712347,0.5873709524542854,0.2611145420854205,-2.8616020631045673,-1.5858497793920039,-0.3717378931480261
MYS,16.616832209678932,16.616832209678932,7.205111060672664,13.479591826676844,9.411721149006269,7069,199,408.6874321942563,2.4533543958604778,6.733138162927758,-0.6848914977984744,0,0,0,Non-OECD,199,1216.8585354513734,12.436271980637487,0.06717608536477647,2.54620191224661,-0.37623443031419473,4.130685389294395,-0.12919665302672106,29.729457225251497,0.3132630058121179,3.6680417978835886,-0.5298758189045416,0.74019051685928,1.117162161682478,0.0788558515820991
NLD,25.974395074725063,25.974395074725063,12.882446034039958,21.610412061163363,13.091949040685105,5046,154,492.6756389784962,1.7042317347207312,4.639463558294436,0.25346078228009306,0,0,1,OECD (other),154,1010.76675978154,16.729962262868465,0.5306999912933669,2.2448205805056767,0.651650129921593,1.9350120648938407,-0.5206207652031012,24.84422025541231,0.1899541517137364,-2.3438104317138286,1.2166059757615044,0.6592460308353485,-0.10653823579998073,1.0686744624424567
NZL,14.68835429509994,14.68835429509994,9.98874581579014,13.121818135330006,4.6996084793098,4682,169,479.0741934523778,1.4824864382255367,3.512481667364972,0.21906359919765703,0,0,1,OECD (other),169,NA,14.610578407877345,0.0635422276484761,2.248581849126974,0.35494670703318093,3.436033322953135,-0.5096846036157396,25.256517291918623,0.18896440804574732,0.06879625614603668,-1.3214524622603039,1.0378929765076526,0.6475399040462115,-0.8156812826527964
PAN,6.654496113756807,5.976636558925463,3.825681905885574,5.485604859522614,2.8288142078712326,4544,215,356.57350391859563,2.430084404667868,7.1767691331962835,-0.9467632798211756,0,0,0,Non-OECD,215,1543.5591661900787,16.63616528983296,0.16398011198830223,2.5444001921249972,0.07866307177969914,2.0035855005432506,0.5043445315348228,32.009395995991994,0.6924849301884182,0.18330286399640688,2.349714811508516,-1.227652220266138,-2.1509002700165016,0.958502777939428
PER,11.311927173595793,11.311927173595793,4.723140165759446,9.115664837650344,6.588787007836347,6968,336,391.23578464022944,2.540551876515324,7.171192860547742,-1.1534973668700967,0,0,0,Non-OECD,336,702.1330468990757,19.45972350760248,0.2401195670820904,2.452671772816717,0.18672511281643367,1.8763509773291216,0.5451900323851238,28.015731549665464,0.7371242418373632,-0.5570801314184141,3.0395827864410845,-1.8350769455260183,-2.7056081105167733,1.264678517253645
PHL,9.589841509208156,8.719569907779146,5.924543185321966,8.077984867436422,3.6652983238861903,7193,188,354.7197127888579,2.515598305723145,6.4882555890022955,-1.3379003723399463,0,0,0,Non-OECD,188,2657.6128870740126,29.549219452447396,0.16581728785346414,2.450922901210142,0.10327061746244996,2.5461979994458472,0.7075035699199858,42.74140798109189,0.2876335009848917,0.39410542321331,-0.15441464008653033,-4.036002067894071,-2.1844415521772533,0.5758440952254612
POL,9.036300534420832,9.036300534420832,4.117549770562903,7.396716946468189,4.918750763857929,6011,240,488.9600537637015,1.815381395670944,4.92734579232336,-0.10514068515163943,0,0,1,OECD (other),240,528.9873754066888,10.371461324140432,0.06902890150848336,1.9925964581379871,-0.08697623029478484,3.0510123208811923,-0.3658502071783417,28.28025245522785,0.272381196538882,-0.3226892672961588,-0.7737058040142969,1.5686269055385793,0.9491717549069877,-0.8920707495489535
PRT,10.638600116362454,10.638600116362454,6.078933228251685,9.118711153658865,4.559666888110769,6793,224,471.9105221057486,1.7754893120686892,5.266423335082511,-0.22635525994346117,0,0,1,OECD (other),224,1603.780590541464,10.403297583144294,0.14981581164906851,2.1470718201082817,0.18135854865355044,3.265999084102839,0.2449084625524628,24.596408364522183,0.3099403944665793,-0.11009533879919836,-0.10261624039871552,0.4277430583071555,0.24465822359796324,-0.7563695581486828
PRY,15.964321990992971,9.645513623089414,-7.692613903579229,5.9724072368343855,23.6569358945722,5084,281,337.53975043615014,2.3684620817440836,6.562226224032013,-1.2449073955603194,0,0,0,Non-OECD,281,514.9650084128681,16.55323155672142,0.1604337729785461,1.5512283380239502,-0.4038034860347437,0.9030459318545474,0.4918552346036459,29.970577149633915,0.6273743850322375,-3.717923723236444,1.9261643522696148,-1.1888329924132734,-1.953687927370089,-0.09704785720317921
PSE,-2.0352596883564047,-2.0352596883564047,-3.0483903034403284,-2.3729698933843792,1.0131306150839237,7905,273,365.7466764424854,1.8270974280776553,7.068780929670047,-0.9119491977041476,0,0,0,Non-OECD,273,585.316626661766,19.72752361248012,0.05852641171829859,2.4779337961805386,0.5854671779508881,2.754940113373383,1.1446105805890852,36.28513815404096,0.19594618458021631,-0.3735101261178764,-1.3052811656334828,-2.9993122261225507,-1.6748773415863036,-1.028752020296214
